Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A735927,,10/01/2016 04:00:00 PM,10/01/2016 04:00:00 PM,09/17/2016,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Orange Tabby
A749061,Oreo,05/21/2017 03:38:00 PM,05/21/2017 03:38:00 PM,05/10/2015,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A691863,,11/15/2014 07:13:00 PM,11/15/2014 07:13:00 PM,11/11/2009,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan/White
A712066,*Oscar,09/26/2015 10:05:00 AM,09/26/2015 10:05:00 AM,11/16/2014,Transfer,Partner,Dog,Neutered Male,10 months,Pointer/Blue Lacy,Tricolor
A737824,Kaa,11/11/2016 06:35:00 PM,11/11/2016 06:35:00 PM,11/05/2015,Return to Owner,,Other,Unknown,1 year,Snake Mix,Brown/Black
A670814,*Pinto Bean,02/02/2014 03:05:00 PM,02/02/2014 03:05:00 PM,01/14/2012,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
A792075,Bob,04/05/2019 05:42:00 PM,04/05/2019 05:42:00 PM,04/05/2017,Return to Owner,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A805528,,10/07/2019 03:21:00 PM,10/07/2019 03:21:00 PM,07/13/2019,Adoption,,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Brown/Tricolor
A805977,Princess,10/06/2019 02:46:00 PM,10/06/2019 02:46:00 PM,10/04/2018,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
A707808,*Yo Yo,07/26/2015 06:04:00 PM,07/26/2015 06:04:00 PM,07/18/2012,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Tan
A310938,Rocky,04/19/2015 12:06:00 PM,04/19/2015 12:06:00 PM,06/21/2002,Return to Owner,,Cat,Neutered Male,12 years,Domestic Shorthair,Gray/White
A673852,*Chloe,04/18/2014 12:41:00 PM,04/18/2014 12:41:00 PM,03/03/2011,Transfer,Partner,Dog,Spayed Female,3 years,Dachshund/Chihuahua Shorthair,Brown/White
A772680,,05/22/2018 03:25:00 PM,05/22/2018 03:25:00 PM,05/07/2018,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White
A620635,Fitz,09/15/2015 12:38:00 PM,09/15/2015 12:38:00 PM,02/22/2007,Return to Owner,,Dog,Neutered Male,8 years,Great Pyrenees Mix,White
A726747,,05/18/2016 06:49:00 PM,05/18/2016 06:49:00 PM,05/14/2014,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A749155,Beny,07/05/2018 12:19:00 PM,07/05/2018 12:19:00 PM,09/12/2016,Adoption,,Dog,Neutered Male,1 year,Dandie Dinmont Mix,Gray/White
A677892,*Pabst,07/12/2014 05:47:00 PM,07/12/2014 05:47:00 PM,04/30/2012,Adoption,,Dog,Neutered Male,2 years,Golden Retriever/Australian Shepherd,White/Tan
A784626,Jasper,11/17/2018 04:59:00 PM,11/17/2018 04:59:00 PM,11/17/2017,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Chocolate/White
A700509,Sarah,04/25/2015 11:08:00 AM,04/25/2015 11:08:00 AM,04/15/2010,Return to Owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby/White
A772472,,05/20/2018 03:24:00 PM,05/20/2018 03:24:00 PM,05/15/2018,Transfer,Partner,Cat,Intact Female,5 days,Domestic Shorthair Mix,Brown Tabby
A747421,Patsy,05/16/2017 12:00:00 AM,05/16/2017 12:00:00 AM,04/25/2007,Transfer,Partner,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A762006,Jasper,11/23/2017 03:56:00 PM,11/23/2017 03:56:00 PM,11/13/2012,Return to Owner,,Dog,Intact Male,5 years,Coton De Tulear Mix,White/Black
A683817,Marvin,07/16/2014 09:00:00 AM,07/16/2014 09:00:00 AM,03/15/2014,Transfer,SCRP,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
A700018,Avery Mae,04/10/2015 06:09:00 PM,04/10/2015 06:09:00 PM,10/06/2013,Adoption,,Dog,Spayed Female,1 year,Cairn Terrier Mix,Silver/Chocolate
A719782,Max,01/29/2016 04:50:00 PM,01/29/2016 04:50:00 PM,11/14/2015,Adoption,,Dog,Neutered Male,2 months,Border Collie,Chocolate/White
A737010,Argo,10/25/2016 03:35:00 PM,10/25/2016 03:35:00 PM,10/20/2015,Return to Owner,,Cat,Neutered Male,1 year,Siamese Mix,Silver Lynx Point
A811513,Siri,02/07/2020 03:45:00 PM,02/07/2020 03:45:00 PM,01/04/2018,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Cream Tabby
A738364,,11/14/2016 02:04:00 PM,11/14/2016 02:04:00 PM,11/13/2004,Euthanasia,Suffering,Dog,Neutered Male,12 years,German Shepherd,Brown/Black
A720749,Rooster  D 3,03/09/2016 10:57:00 AM,03/09/2016 10:57:00 AM,02/14/2015,Disposal,,Bird,Intact Male,1 year,Chicken Mix,White
A692588,,11/24/2014 09:00:00 AM,11/24/2014 09:00:00 AM,11/23/2013,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Tortie/White
A715113,,11/01/2015 09:00:00 AM,11/01/2015 09:00:00 AM,10/31/2013,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A772688,,05/22/2018 07:24:00 PM,05/22/2018 07:24:00 PM,05/22/2016,Died,,Other,Unknown,2 years,Bat Mix,Black
A819676,Maya,07/06/2020 04:36:00 PM,07/06/2020 04:36:00 PM,07/02/2018,Adoption,,Dog,Spayed Female,2 years,Chow Chow/Siberian Husky,Black/Brown
A667873,Gee,11/27/2013 03:55:00 PM,11/27/2013 03:55:00 PM,11/24/2012,Return to Owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
A814038,,02/27/2020 04:52:00 PM,02/27/2020 04:52:00 PM,02/23/2018,Transfer,Snr,Cat,Unknown,2 years,Domestic Medium Hair Mix,Brown Tabby
A679782,Sunshine,07/02/2014 02:39:00 PM,07/02/2014 02:39:00 PM,05/26/2012,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
A766484,Skylar,02/15/2018 02:35:00 PM,02/15/2018 02:35:00 PM,02/10/2016,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A813754,,02/22/2020 03:08:00 PM,02/22/2020 03:08:00 PM,12/03/2019,Adoption,,Dog,Neutered Male,2 months,Doberman Pinsch,Chocolate/Tan
A684348,,07/22/2014 03:54:00 PM,07/22/2014 03:54:00 PM,05/31/2014,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A713660,Topper,10/11/2015 01:27:00 PM,10/11/2015 01:27:00 PM,10/10/2009,Return to Owner,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White
A765646,*Sean,03/10/2018 04:02:00 PM,03/10/2018 04:02:00 PM,01/24/2016,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Black/White
A703634,,05/28/2015 11:58:00 AM,05/28/2015 11:58:00 AM,03/12/2015,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Blue/White
A751372,*Blueboy,06/15/2017 03:42:00 PM,06/15/2017 03:42:00 PM,05/15/2017,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
A732941,Sunny,08/21/2016 06:11:00 PM,08/21/2016 06:11:00 PM,08/15/2015,Adoption,,Dog,Intact Male,1 year,Smooth Fox Terrier/Chihuahua Shorthair,Tan/White
A782713,*Kanga,08/13/2019 11:40:00 AM,08/13/2019 11:40:00 AM,10/20/2011,Adoption,Foster,Dog,Spayed Female,7 years,Pit Bull Mix,Chocolate/White
A670356,Siren,01/11/2014 06:07:00 PM,01/11/2014 06:07:00 PM,10/22/2013,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan
A758099,*Ollie,09/29/2017 07:02:00 PM,09/29/2017 07:02:00 PM,09/11/2015,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A758496,Sissy,09/29/2017 05:21:00 PM,09/29/2017 05:21:00 PM,09/17/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White
A757675,Bauer,09/11/2017 05:47:00 PM,09/11/2017 05:47:00 PM,05/27/2010,Return to Owner,,Dog,Neutered Male,7 years,Miniature Schnauzer,Gray
A710790,Loco,08/30/2015 12:03:00 PM,08/30/2015 12:03:00 PM,12/27/2014,Return to Owner,,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Red
A730896,,10/05/2016 01:08:00 PM,10/05/2016 01:08:00 PM,07/12/2015,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A745972,Viva,04/01/2017 02:29:00 PM,04/01/2017 02:29:00 PM,03/27/2016,Transfer,Partner,Dog,Intact Female,1 year,Border Terrier Mix,White/Black
A732191,*Shyla,09/16/2016 11:11:00 AM,09/16/2016 11:11:00 AM,07/09/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A668289,,12/06/2013 11:29:00 AM,12/06/2013 11:29:00 AM,06/01/2012,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
A766416,,02/08/2018 12:00:00 AM,02/08/2018 12:00:00 AM,01/18/2018,Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever Mix,Tan/White
A753714,*Mesha,08/11/2017 06:31:00 PM,08/11/2017 06:31:00 PM,07/10/2015,Adoption,,Dog,Spayed Female,2 years,Staffordshire Mix,Brown Brindle/White
A750838,,06/05/2017 04:56:00 PM,06/05/2017 04:56:00 PM,08/01/2016,Transfer,Partner,Dog,Spayed Female,10 months,St. Bernard Smooth Coat Mix,Tricolor
A774308,*Sephora,09/23/2018 12:31:00 PM,09/23/2018 12:31:00 PM,06/10/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie/White
A758524,*Jo,10/14/2017 04:25:00 PM,10/14/2017 04:25:00 PM,08/18/2017,Adoption,,Cat,Spayed Female,1 month,American Shorthair Mix,Calico
A811634,,01/07/2020 02:16:00 PM,01/07/2020 02:16:00 PM,01/07/2018,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull,Brown Brindle
A721194,Cooper,02/29/2016 05:34:00 PM,02/29/2016 05:34:00 PM,10/23/2015,Adoption,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black
A727810,*Gretchen,06/26/2016 04:51:00 PM,06/26/2016 04:51:00 PM,04/08/2016,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
A719715,Lambau,05/31/2017 02:06:00 PM,05/31/2017 02:06:00 PM,01/11/2015,Return to Owner,,Dog,Neutered Male,2 years,Catahoula Mix,Brown/Tan
A735481,*Kirby,10/30/2016 01:19:00 PM,10/30/2016 01:19:00 PM,09/24/2014,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Tan/Black
A774764,,06/20/2018 07:50:00 AM,06/20/2018 07:50:00 AM,06/19/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A680933,*Fantine,08/05/2014 05:04:00 PM,08/05/2014 05:04:00 PM,06/10/2010,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A756864,*Salty,10/14/2017 01:10:00 PM,10/14/2017 01:10:00 PM,09/09/2012,Adoption,,Other,Neutered Male,5 years,Ferret,White/Silver
A690312,,10/20/2014 09:00:00 AM,10/20/2014 09:00:00 AM,04/18/2014,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Blue Tabby
A694712,*Fifi,01/09/2015 05:50:00 PM,01/09/2015 05:50:00 PM,07/02/2013,Adoption,,Dog,Spayed Female,1 year,Whippet/Labrador Retriever,Black/White
A771195,,05/06/2018 05:35:00 PM,05/06/2018 05:35:00 PM,02/19/2018,Adoption,,Dog,Spayed Female,2 months,Harrier Mix,White/Brown
A691494,,11/06/2014 08:11:00 AM,11/06/2014 08:11:00 AM,11/05/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Fox Mix,Red/Gray
A773268,Sam,06/03/2018 06:14:00 PM,06/03/2018 06:14:00 PM,05/29/2017,Adoption,,Dog,Neutered Male,1 year,Irish Wolfhound/Cardigan Welsh Corgi,Gray/White
A752449,Kuma,08/31/2017 02:09:00 PM,08/31/2017 02:09:00 PM,03/22/2017,Adoption,,Dog,Neutered Male,5 months,German Shepherd Mix,Black/Brown
A674037,,03/06/2014 03:03:00 PM,03/06/2014 03:03:00 PM,03/06/2013,Disposal,,Other,Unknown,1 year,Bat,Brown
A786043,,12/19/2018 04:16:00 PM,12/19/2018 04:16:00 PM,09/15/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A793545,*Chief,04/29/2019 04:11:00 PM,04/29/2019 04:11:00 PM,12/26/2018,Transfer,Partner,Dog,Neutered Male,4 months,Pointer Mix,White/Black
A710310,*Mindy,08/31/2015 11:56:00 AM,08/31/2015 11:56:00 AM,01/21/2015,Transfer,Partner,Dog,Spayed Female,7 months,Labrador Retriever Mix,Buff
A803157,Flash,09/09/2019 02:08:00 PM,09/09/2019 02:08:00 PM,08/28/2010,Transfer,Partner,Dog,Intact Male,9 years,Basset Hound,Brown/Tricolor
A679570,,05/28/2014 05:05:00 PM,05/28/2014 05:05:00 PM,03/20/2014,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/Black
A678539,Baker,05/13/2014 06:49:00 PM,05/13/2014 06:49:00 PM,02/22/2014,Return to Owner,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
A709314,,08/11/2015 12:00:00 AM,08/11/2015 12:00:00 AM,07/21/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A676291,Sam,04/07/2014 05:49:00 PM,04/07/2014 05:49:00 PM,04/07/2011,Return to Owner,,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Silver
A707760,,07/19/2015 08:48:00 AM,07/19/2015 08:48:00 AM,07/17/2013,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown
A684581,*Zeus,08/20/2014 05:18:00 PM,08/20/2014 05:18:00 PM,06/25/2014,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Brown Tabby/White
A682347,,06/26/2014 05:16:00 PM,06/26/2014 05:16:00 PM,06/04/2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A759498,,10/02/2017 06:32:00 PM,10/02/2017 06:32:00 PM,10/02/2015,Euthanasia,Suffering,Other,Unknown,2 years,Opossum Mix,Black/White
A670626,Callie,01/17/2014 06:43:00 PM,01/17/2014 06:43:00 PM,01/11/2012,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A775506,Mikey,11/05/2018 11:49:00 AM,11/05/2018 11:49:00 AM,07/01/2016,Return to Owner,,Dog,Neutered Male,2 years,Great Pyrenees Mix,White
A809994,Amelia Rose,03/31/2020 07:54:00 AM,03/31/2020 07:54:00 AM,12/03/2019,Adoption,Foster,Cat,Intact Female,3 months,Domestic Shorthair,Black
A752564,*Isaac,07/13/2017 11:55:00 AM,07/13/2017 11:55:00 AM,04/24/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A728220,,06/06/2016 06:43:00 PM,06/06/2016 06:43:00 PM,04/01/2016,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,Black/White
A665800,*Precious,11/10/2013 06:50:00 PM,11/10/2013 06:50:00 PM,07/23/2013,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A747824,Percy,05/29/2017 11:25:00 PM,05/29/2017 11:25:00 PM,04/25/2016,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A787269,,01/22/2019 05:51:00 PM,01/22/2019 05:51:00 PM,06/04/2018,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
A726816,,05/16/2016 09:06:00 AM,05/16/2016 09:06:00 AM,11/14/2015,Transfer,Partner,Cat,Intact Male,6 months,Domestic Medium Hair Mix,Black
A809391,,11/27/2019 05:23:00 PM,11/27/2019 05:23:00 PM,11/23/2018,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair,White/Brown
A745002,Chewy,08/12/2018 04:29:00 PM,08/12/2018 04:29:00 PM,03/11/2015,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Tricolor
A673918,,03/04/2014 03:28:00 PM,03/04/2014 03:28:00 PM,03/04/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A691169,,10/31/2014 09:00:00 AM,10/31/2014 09:00:00 AM,12/30/2013,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Longhair Mix,Brown Tabby/White
A692256,,11/17/2014 03:56:00 PM,11/17/2014 03:56:00 PM,11/17/2011,Euthanasia,Suffering,Dog,Intact Male,3 years,Standard Poodle Mix,White
A684994,,08/09/2014 07:21:00 PM,08/09/2014 07:21:00 PM,07/31/2013,Transfer,Partner,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
A801920,Jester,08/26/2019 05:46:00 PM,08/26/2019 05:46:00 PM,05/30/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Silver Tabby/White
A718166,*Marcus,04/01/2016 04:55:00 PM,04/01/2016 04:55:00 PM,12/23/2013,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever/Chow Chow,Yellow
A812133,Lily,02/03/2020 03:08:00 PM,02/03/2020 03:08:00 PM,01/16/2019,Adoption,,Cat,Intact Female,1 year,Siamese,Seal Point
A670633,*Fiona,01/15/2014 12:58:00 PM,01/15/2014 12:58:00 PM,08/12/2013,Transfer,Partner,Dog,Intact Female,5 months,Plott Hound Mix,Brown Brindle
A711265,Tigger,09/22/2015 01:34:00 PM,09/22/2015 01:34:00 PM,09/04/2010,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby/White
A691310,,11/02/2014 06:28:00 PM,11/02/2014 06:28:00 PM,10/11/2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Calico
A806684,285 Grams,10/14/2019 04:39:00 PM,10/14/2019 04:39:00 PM,09/22/2019,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black/White
A775374,*Athena,11/07/2018 10:20:00 AM,11/07/2018 10:20:00 AM,05/28/2018,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie/White
A579598,Blue,04/30/2016 07:14:00 PM,04/30/2016 07:14:00 PM,07/16/2007,Return to Owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Cream
A684179,Tod,07/21/2014 05:15:00 PM,07/21/2014 05:15:00 PM,07/20/2007,Return to Owner,,Dog,Neutered Male,7 years,Pomeranian Mix,Tan
A678136,,05/04/2014 04:17:00 PM,05/04/2014 04:17:00 PM,04/04/2014,Transfer,Partner,Cat,Intact Male,4 weeks,Snowshoe Mix,Seal Point
A738383,,11/15/2016 09:00:00 AM,11/15/2016 09:00:00 AM,06/14/2016,Transfer,SCRP,Cat,Intact Male,5 months,Siamese Mix,Lynx Point
A802447,Skywalker,08/29/2019 02:09:00 PM,08/29/2019 02:09:00 PM,08/18/2015,Transfer,Partner,Dog,Neutered Male,4 years,Anatol Shepherd Mix,Brown/Tricolor
A689829,Nico,10/19/2014 04:59:00 PM,10/19/2014 04:59:00 PM,10/10/2013,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A809887,,12/04/2019 12:05:00 PM,12/04/2019 12:05:00 PM,10/19/2019,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever/German Shepherd,Brown/White
A713362,*Faloo,10/11/2015 06:21:00 PM,10/11/2015 06:21:00 PM,06/06/2015,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
A703881,,05/30/2015 11:11:00 AM,05/30/2015 11:11:00 AM,04/29/2015,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Black/Brown
A685151,Noches,09/11/2014 01:48:00 PM,09/11/2014 01:48:00 PM,12/03/2013,Transfer,Partner,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Black
A737777,Angel,11/08/2016 12:00:00 AM,11/08/2016 12:00:00 AM,09/04/2016,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Buff
A682936,,07/05/2014 12:42:00 PM,07/05/2014 12:42:00 PM,06/20/2014,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Brown Tabby
A729334,,06/22/2016 12:21:00 PM,06/22/2016 12:21:00 PM,06/21/2015,Adoption,,Dog,Neutered Male,1 year,Maltese Mix,Black/White
A766324,Luke,05/06/2018 04:11:00 PM,05/06/2018 04:11:00 PM,02/06/2016,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A807983,,11/09/2019 06:14:00 PM,11/09/2019 06:14:00 PM,07/18/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby
A751900,Canela,06/16/2017 02:54:00 PM,06/16/2017 02:54:00 PM,01/15/2017,Return to Owner,,Dog,Intact Female,4 months,Miniature Poodle Mix,Cream
A689629,,10/11/2014 05:05:00 PM,10/11/2014 05:05:00 PM,08/12/2014,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A787708,Snoopy,01/23/2019 05:05:00 PM,01/23/2019 05:05:00 PM,01/18/2016,Return to Owner,,Dog,Intact Male,3 years,Pbgv Mix,White
A684939,*Baloo,09/09/2014 07:14:00 PM,09/09/2014 07:14:00 PM,07/30/2012,Adoption,,Cat,Neutered Male,2 years,Russian Blue Mix,Blue
A702668,*Ed,08/27/2015 12:39:00 PM,08/27/2015 12:39:00 PM,04/07/2015,Missing,In Foster,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black
A664767,Tasha Yar,05/21/2014 06:14:00 PM,05/21/2014 06:14:00 PM,06/08/2013,Adoption,,Dog,Spayed Female,11 months,Plott Hound/Pit Bull,Brown Brindle/White
A686205,,08/19/2014 09:00:00 AM,08/19/2014 09:00:00 AM,08/18/2007,Transfer,SCRP,Cat,Unknown,7 years,Domestic Shorthair Mix,White/Brown Tabby
A727664,*Bruce,05/28/2016 01:18:00 PM,05/28/2016 01:18:00 PM,05/24/2015,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Black
A664424,Spot,10/04/2013 02:09:00 PM,10/04/2013 02:09:00 PM,10/03/2005,Return to Owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair/Mexican Hairless,Red/White
A757737,Zephyr,09/06/2017 12:22:00 PM,09/06/2017 12:22:00 PM,09/03/2015,Return to Owner,,Dog,Neutered Male,2 years,Australian Kelpie/Catahoula,Black/Tricolor
A727406,Desirae,06/02/2016 05:58:00 PM,06/02/2016 05:58:00 PM,05/21/2015,Return to Owner,,Dog,Spayed Female,1 year,Miniature Poodle Mix,Black
A738496,Chica,11/18/2016 06:18:00 PM,11/18/2016 06:18:00 PM,11/16/2013,Return to Owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Brown
A805616,*Porter,12/03/2019 11:13:00 AM,12/03/2019 11:13:00 AM,09/28/2019,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Dachshund Wirehair,Black/Tan
A774545,Duque,06/23/2018 03:40:00 PM,06/23/2018 03:40:00 PM,10/08/2016,Return to Owner,,Dog,Intact Male,1 year,Siberian Husky Mix,White/Black
A717657,Rosco,03/17/2017 02:23:00 PM,03/17/2017 02:23:00 PM,12/12/2009,Return to Owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Yellow
A690242,,10/16/2014 06:31:00 PM,10/16/2014 06:31:00 PM,09/24/2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Cream Tabby
A753517,Kiwi,07/08/2017 12:42:00 PM,07/08/2017 12:42:00 PM,07/07/2015,Return to Owner,,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan
A811160,Papa,01/03/2020 10:49:00 AM,01/03/2020 10:49:00 AM,12/29/2017,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A731918,,07/30/2016 09:00:00 AM,07/30/2016 09:00:00 AM,04/05/2016,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White
A662137,Hercules,06/01/2014 07:04:00 PM,06/01/2014 07:04:00 PM,05/23/2013,Adoption,,Dog,Neutered Male,1 year,American Bulldog Mix,Brown/White
A809426,*Savitar,12/02/2019 04:00:00 PM,12/02/2019 04:00:00 PM,11/24/2018,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan
A810536,Thor,12/19/2019 05:26:00 PM,12/19/2019 05:26:00 PM,10/15/2019,Adoption,,Dog,Neutered Male,2 months,Rottweiler/Plott Hound,Black/Brown
A671051,Sonny,06/18/2016 06:16:00 PM,06/18/2016 06:16:00 PM,01/17/2012,Adoption,,Dog,Neutered Male,4 years,Miniature Schnauzer/Chihuahua Longhair,Black/Tan
A653879,*Rowdy,01/21/2015 02:33:00 PM,01/21/2015 02:33:00 PM,04/20/2013,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A751365,Whiskey,06/07/2017 03:56:00 PM,06/07/2017 03:56:00 PM,03/07/2012,Return to Owner,,Dog,Neutered Male,5 years,Australian Kelpie Mix,Brown Brindle/White
A737854,Harley,03/17/2018 02:57:00 PM,03/17/2018 02:57:00 PM,05/05/2016,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog/Belgian Malinois,Black Brindle/Black
A799108,Oscar,07/16/2019 11:39:00 AM,07/16/2019 11:39:00 AM,07/05/2009,Return to Owner,,Dog,Intact Male,10 years,Dachshund,Tan
A807726,,11/03/2019 06:01:00 PM,11/03/2019 06:01:00 PM,08/03/2019,Transfer,Partner,Dog,Spayed Female,3 months,Dachshund/Chihuahua Shorthair,Tan
A767692,,03/05/2018 05:02:00 PM,03/05/2018 05:02:00 PM,03/05/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A687931,Isabel,09/23/2014 02:37:00 PM,09/23/2014 02:37:00 PM,07/26/2014,Transfer,Partner,Cat,Spayed Female,1 month,Domestic Shorthair,Black/White
A738669,*Neeko,11/27/2016 03:33:00 PM,11/27/2016 03:33:00 PM,09/19/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A777196,Sasha,07/30/2018 06:38:00 PM,07/30/2018 06:38:00 PM,05/24/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black
A696448,Pugsley,02/05/2015 10:43:00 AM,02/05/2015 10:43:00 AM,02/05/2003,Return to Owner,,Dog,Spayed Female,12 years,Pug/Pomeranian,Brown/White
A690088,*Ramona,10/20/2014 01:49:00 PM,10/20/2014 01:49:00 PM,08/07/2014,Transfer,Partner,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White
